what,kind,bundleId,bundleVersion,description,time
stopped,bundle,edu.buffalo.cse.green,3.1.0,edu.buffalo.cse.green,1239523121672
stopped,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1239523121711
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1239523121711
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.ide.ui,1239523121711
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1239523121711
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.resources.ui,1239523121711
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1239523121711
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.help.ui,1239523121711
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.bugs,1239523121711
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1239523121711
stopped,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1239523121712
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.1.0.v20080604,org.eclipse.rse.subsystems.shells.telnet,1239523121712
stopped,bundle,org.eclipse.rse.shells.ui,3.0.0.v20080606,org.eclipse.rse.shells.ui,1239523121712
stopped,bundle,org.eclipse.rse.files.ui,3.0.0.v20080609,org.eclipse.rse.files.ui,1239523121712
stopped,bundle,org.eclipse.rse.processes.ui,3.0.0.v20080604,org.eclipse.rse.processes.ui,1239523121712
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.300.v200805152207,org.eclipse.wst.dtd.ui,1239523121712
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.100.v200806051913,org.eclipse.wst.wsdl.ui,1239523121712
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.400.v200805140300,org.eclipse.wst.wsi.ui,1239523121712
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.0.v200804302218,org.eclipse.wst.jsdt.web.ui,1239523121712
stopped,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1239523121712
stopped,bundle,org.eclipse.wst.html.ui,1.0.300.v200805152207,org.eclipse.wst.html.ui,1239523121712
stopped,bundle,org.eclipse.wst.css.ui,1.0.300.v200805152207,org.eclipse.wst.css.ui,1239523121712
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.101.v200806051910,org.eclipse.wst.xsd.ui,1239523121712
stopped,bundle,org.eclipse.wst.xml.ui,1.0.400.v200806051910,org.eclipse.wst.xml.ui,1239523121712
stopped,bundle,org.eclipse.wst.common.ui,1.1.301.v200805140415,org.eclipse.wst.common.ui,1239523121712
